/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-8g4q-xg66-9fp4
/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-hh2w-p6rv-4g7w
/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-8g4q-xg66-9fp4
/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-hh2w-p6rv-4g7w
CUSTOMER_NAME	Address	City	State	Zip
The Spot Cannabis Collective (DF)	2590 CRATER LAKE HIGHWAY	MEDFORD	OR	97504
Lemonnade	11321 SW 64TH AVE	PORTLAND	OR	97219
Redbarn Dispensary (DF)	1107 MARYLAND AVE.	MYRTLE POINT	OR	97458
Redbarn Dispensary (DF)	1810 NE STEPHENS ST.	ROSEBURG	OR	97470
THC Recreation Station	1295 OXFORD ST SE	SALEM	OR	97302
Rogue Valley Cannabis - Ashland (DF)	505 SISKIYOU BLVD	ASHLAND	OR	97520
Star Rock Inc.	1911 Lancaster Drive NE	Salem	OR	97305
Willamette Valley Cannabis Co.	16869 65th Ave #288	Lake Oswego	OR	97035
Joint Venture Cannabis	1111 Willamette St	Eugene	OR	97401
La Mota - Beaverton 2	18918 SW Shaw St.	Beaverton	OR	97078
Dr. Jolly's	415 SE 3RD ST	BEND	OR	97702
Kush Dispensary	48122 HWY 58	Oakridge	OR	97463
River City Retail (DF)	115 GALICE ROAD SUITE A	MERLIN	OR	97523
Diem	305 SE 3RD AVE SUITE #203	PORTLAND	OR	97214
Multnomah Greens	3005 SW MULTNOMAH BLVD.	PORTLAND	OR	97219
Multnomah Greens	3005 sw Multnomah blvd	PORTLAND	OR	97219
Green Ridge Apothecary	106 NE 8TH ST	MCMINNVILLE	OR	97128
Oregon Bud Company - Cesar Chavez	4511 SE CESAR E CHAVEZ BLVD	PORTLAND	OR	97202
Bridge City Collective	215 SE GRAND AVENUE	PORTLAND	OR	97214
Kanopy 7 (DF)	1252 W MCANDREWS ROAD UNIT 2	MEDFORD	OR	97501
Up N Smoke	1487 Broadway St NE	Salem	OR	97301
Advanced Dna	2147 Main Street	SpringField	OR	97477
Paradise Found	10655 SE 42ND AVENUE	MILWAUKIE	OR	97222
West Coast Organics (DF)	855 RAILROAD STREET STE. C	BROOKINGS	OR	97415
Green Therapy (DF)	85938 HWY 99 S	EUGENE	OR	97405
DiamondTree Galivston	1233 NW Galveston Ave	Bend 	OR	97703
DiamondTree Galivston	2715 US-20	Bend	OR	97701
DiamondTree Galivston	380 North Sunset Highway	Madras	OR	97741
OGC Inc (DF)	1201 W. STEWART AVE	MEDFORD	OR	97501
Cascade Cannabis Solutions	8700 SW Barbur Ct	Portland	OR	97219
Main St. Cannabis (DF)	905 Main N	Independence	OR	97351
Bloom Well Wholesale (Substance Market)	61406 S HWY 97	BEND	OR	97702
Electric Lettuce Foster-Powell	"5522 SE FOSTER ROAD	"	OR	OR
Rosebud Inc	2637 NE Martin Luther King Jr Blvd	Portland	OR	97212
Oregon Bud Company - Newport	1155 SW Coast Hwy	Newport	OR	97365
River Valley Remedies	1487 BROADWAY ST NE	SALEM	OR	97301
Cloud 9 Wellness (DF)	1411 HILTON RD	MEDFORD	OR	97504
High Mountain Retail (DF)	2722 W 2ND ST	THE DALLES	OR	97058
Cream Cannabis	2824 SW Sam Jackson Park Rd.	Portland	OR	97201
Somewhere	2128 NW OVERTON STREET	PORTLAND	OR	97210
Rose Budz PDX	2410 N MISSISSIPPI AVE	PORTLAND	OR	97227
Plantae	2115 NE HWY 20 SUITE 107	BEND	OR	97701
Kind Leaf Pendleton (DF)	1733 SW COURT AVE	PENDLETON	OR	97801
Gorge Greenery	13 OAK STREET	HOOD RIVER	OR	97031
Top Hat Express	11916 SE 22ND AVENUE SUITE B	MILWAUKIE	OR	97222
Emerald Triangle Dispensary (DF)	246 EAST 10TH STREET	MEDFORD	OR	97501
Pioneer Cannabis Co. Coos Bay (CT-DF)	63049 Highway 101	Coos Bay	OR	97420
Pioneer Cannabis Co Madras (DF)	141 SE 5TH STREET	MADRAS	OR	97741
Pakalolo	1528 SE Holgate Blvd	Portland	OR	97202
Pacific Wave Resource Center	1543 NW 19TH SUITE B	LINCOLN CITY	OR	97367
MindRite	1780 NW MARSHALL ST	PORTLAND	OR	97209
Lighthouse	1630 SE Rhine St	Portland	OR	97202
Holy Grail (DF)	1293 Lincoln St	Eugene	OR	97401
High Tide Wellness Center (DF)	15957 US-101 SUITE #4	BROOKINGS	OR	97415
Electric Lettuce - Kerns	2026 NE SANDY BLVD	PORTLAND	OR	97232
Herbal Remedies 2	3940 COMMERCIAL ST SE	SALEM	OR	97302
Rogue River Herbal PMC (DF)	510 EAST MAIN ST STE C	ROGUE RIVER	OR	97537
Coastal Canna Supply	408 Commercial Avenue	COOS BAY	OR	97420
GREEN KNOTTZ CHILOQUIN (DF)	131 S 1ST AVE.	CHILOQUIN	OR	97624
Growing ReLeaf	4160 SW 109TH AVE	BEAVERTON	OR	97005
Natural High (DF)	749 RIVERSIDE DRIVE SUITE A	COQUILLE	OR	97423
Good Karma	3332 MAIN ST	SPRINGFIELD	OR	97478
Going Green Sweet Home	2252 MAIN ST	SWEET HOME	OR	97386
Green Mountain Fire	21951 SE STARK ST.	GRESHAM	OR	97030
Nebula Cannabis	11605 SE POWELL BLVD	PORTLAND	OR	97266
Hashstoria Gladstone	17763 SE 82nd Drive #D	Gladstone	OR	97027
Hashstoria Gladstone	17763 SE 82ND DR STE D	GLADSTONE	OR	97027
Old School Bliss (DF)	2090 OLYMPIC ST STE D	SPRINGFIELD	OR	97477
Lucky Lion - Eugene	2164 W 7TH AVE	EUGENE	OR	97402
Casper's Cannabis Club (Apothca)(DF)	1205 Alder st	Eugene	OR	97401
Frontier Farms - The Dalles (DF)	609 E 2nd St	The Dalles	OR	97058
Western Oregon Dispensary	652 SW BASELINE ST.	HILLSBORO	OR	97123
Western Oregon Dispensary	38012 HWY 26 #2	SEASIDE	OR	97138
High Tide Cannabis NW LLC (DF)	1074 Virginia Ave	North bend	OR	97459
Eugreen (DF)	1111 WILLAMETTE ST.	EUGENE	OR	97401
Emerald Triangle Talent	103 N Pacific Hwy B	Talent	OR	97540
Preserve Oregon	1201 COMMERCIAL ST SE	SALEM	OR	97302
The Local Market	1216 NE 1ST STREET SUITE 100	BEND	OR	97701
ELEVATION 2150	2876 SW 4TH AVE SUITE 1	ONTARIO	OR	97914
Amazon Organics (DF)	3443 HILYARD ST. SUITE F	EUGENE	OR	97405
Lucky Lion - Sandy	16148 NE SANDY BLVD	PORTLAND	OR	97230
Lucky Lion - Sandy	14800 SE POWELL BLVD #1	PORTLAND	OR	97236
The Wicked Flower Shoppe (DF)	600 EAST JACKSON	MEDFORD	OR	97501
AmeriCanna	8654 NE Sandy  Blvd	Portland	OR	97220
Columbia River Herbals LLC	2630 W 6TH ST	THE DALLES	OR	97058
High Lakes Cannabis (DF)	2820 MAYWOOD DR	KLAMATH FALLS	OR	97601
High Lakes Cannabis (DF)	3945 Highway 97	Klamath Falls	OR	97601
High Lakes Cannabis (DF)	593 Jackson St E	Monmouth	OR	97361
Crater Cannabis (DF)	1180 Crater Lake Avenue	Medford	OR	97504
Cougar Cannabis	1989 NE DIAMOND LAKE BLVD	ROSEBURG	OR	97470
Cookies Halsey	7916 SE DIVISION STREET	PORTLAND	OR	97206
Apothecaria (DF)	700 ROW RIVER ROAD	COTTAGE GROVE	OR	97424
Cloud 9 Cannabis (DF)	154 MANOR ST NE	ALBANY	OR	97322
SWED.CO	2058 NW BURNSIDE	GRESHAM	OR	97030
Cherry City Compassion	1855 25TH STREET	SALEM	OR	97302
Northwest Cannabis Co.	17937 SW McEwan Rd	Tualatin	OR	97224
Electric Lettuce Montavilla	7201 NE GLISAN ST. SUITE D	PORTLAND	OR	97213
Positive Vibrations (DF)	1195 NEWMARK AVE SUITE A	COOS BAY	OR	97420
Budz Barn (DF)	3528 S Pacific Hwy	Medford	OR	97501
Cannaking Marijuana Dispensaries (DF)	1449 NW MULHOLLAND DR	ROSEBURG	OR	97470
Smooth Roots (Lincoln City) (DF)	325 SW HWY 101	LINCOLN CITY	OR	97367
Smooth Roots (Lincoln City) (DF)	1500 SW BAKER STREET	MCMINNVILLE	OR	97128
World Famous Top Shelf Cannabis (Brookings) (DF)	704 Chetco Ave.	Brookings	OR	97415
Ripped City Greenz	15591 SE McLoughlin Blvd	Oak Grove	OR	97267
Stumptown Cannabis	10587 SE 82ND AVE	HAPPY VALLEY	OR	97086
Blue Dream Cannabis & Vintage	1436 SE Powell Blvd Frontage Rd	Portland	OR	97202
Beaver Bowls (DF)	227 SW 6TH ST	CORVALLIS	OR	97333
Beatnick’s Finest LLC (DF)	126 SW Avery Ave.	Corvallis	OR	97333
Lemonnade Milwaukie Inc	18819 SE McLoughlin Blvd.	PORTLAND	OR	97267
Lemonnade Milwaukie Inc	6218 NE COLUMBIA BLVD	PORTLAND	OR	97218
Lemonnade Milwaukie Inc	8105 N Fessenden St	Portland	OR	97203
Zion Cannabis	2331 SW 6TH AVE.	PORTLAND	OR	97201
Monmouth Cannabis (DF)	210 SOUTH PACIFIC HIGHWAY SUITE A	MONMOUTH	OR	97361
Monmouth Cannabis (DF)	2625 SALEM DALLAS HWY NW STE 100	SALEM	OR	97304
Touch of Aloha (DF)	3885 N HIGHWAY 101 SUITE B	DEPOE BAY	OR	97341
The Cannabis Shop (DF)	37575 century Dr	Albany	OR	97322
Terpene Station (DF)	645 River Rd #3	Eugene	OR	97404
Ishen Tree	11821 NE Glisan St	Portland	OR	97220
BUD BROS LLC (DF)	"1240 CHETCO AVE.	 STE E	OR	BROOKINGS
Green Cross Dispensary	221 WEST BISHOP WAY	BROWNSVILLE	OR	97327
420ville	210 Washington St W	Huntington	OR	97907
Three Kings Organics (DF)	224 TERMINAL AVE	THE DALLES	OR	97058
Cultiv8	5230 SE 52nd Ave	Portland	OR	97206
Nectar Markets	18032 NE Airport Way	Portland	OR	97230
Nectar Markets	162 NE BEACON DR	Grants Pass	OR	97526-4260
Nectar Markets	259 E Barnett Rd #1	Medford	OR	97501
Avitas Processor	4660 RIDGE DR	Salem	OR	97301
Elevate Holdings (processing)	30810 SE HEIPLE RD	Estacada	OR	97023
"TODAY'S HERBAL CHOICE RAINIER	thcrainier@gmail.com	75940 ROCKCREST ST C-2	OR	OR
"Today's Herbal Choice Barbur	thcbarbur@gmail.com	9220 S.W BARBUR BLVD SUITE 107	OR	OR
Deanz Greenz	5625 B SE 85TH AVENUE	PORTLAND	OR	97266
Love Buzz Broadway	6802 ne broadway	portland	OR	97213
Love Buzz Broadway	5425 NE GLISAN ST	PORTLAND	OR	97213
TJ's on Willamette (DF)	1027 WILLAMETTE STREET	EUGENE	OR	97401
Nectar Wholesale - Flower Intake	18032 NE Airport Way	portland	OR	97230
"Today's Herbal Choice Milwaukie	THCMilwaukie@gmail.com	3087 SE MONROE ST	OR	OR
PottonMouth (DF)	950 SE SHERIDAN ROAD	SHERIDAN	OR	97378
"Cannabis	cannabisllconmainst@gmail.com	1936 MAIN STREET	OR	OR
The Arboretum (DF)	1541 HWY 101	FLORENCE	OR	97439
"Diem Columbia	amanda@mythoscannabis.com	851 ne columbia blvd	OR	OR
Self Made south	103	Medford	OR	
Lifted Northwest	11121 SE Division St	Portland	OR	97266
Elevation 2150	2876 SW 4TH AVE Suite 1 	Ontario 	OR	97914
Exotic Belndz	845 NE COLUMBIA BLVD	Portland	OR	97211
Noble Craft	26607 S Highway 170	Canby	OR	97013
Cosmic Treehouse	1215 SE IVON ST STE 100, STE 100 200 & 1219 #100	Portland	OR	97202
OG Extracts	20234 SE VENEER LN UNIT C	Sandy	OR	97055
528HZ GARDENS	1332 E NEVADA ST	ASHLAND	OR	97520
Treasure Valley Cannabis	560 SE 12th Ave 	ontario 	OR	97914
The Red Eye Erin Wall	833 SW 30th street	ontario	OR	97914
